seq,t_esp_ms,t_recv_ms,intervalo_ms,t_before_post_ms,t_after_post_ms,rtt_broker_ms,http_status
4478,4481073,1789658063666.6,,1789658063666.8,1789658063697.3,30.5,204
4479,4482073,1789658063704.4,37.8,1789658063704.6,1789658063724.2,19.6,204
4480,4483073,1789658064549.8,845.3,1789658064549.9,1789658064586.9,37.0,204
4481,4484073,1789658065549.9,1000.1,1789658065550.1,1789658065579.5,29.5,204
4482,4485073,1789658066549.8,999.9,1789658066550.0,1789658066582.2,32.2,204
4483,4486073,1789658067550.1,1000.3,1789658067550.3,1789658067580.0,29.7,204
4484,4487073,1789658068550.1,1000.0,1789658068550.3,1789658068704.1,153.8,204
4485,4488073,1789658069549.8,999.7,1789658069549.9,1789658069573.5,23.6,204
4486,4489073,1789658070549.3,999.5,1789658070549.4,1789658070570.0,20.5,204
4487,4490073,1789658071553.6,1004.3,1789658071553.8,1789658071582.5,28.7,204
4488,4491073,1789658072550.1,996.5,1789658072550.3,1789658072574.9,24.6,204
4489,4492073,1789658073550.1,1000.0,1789658073550.3,1789658073593.9,43.6,204
4490,4493073,1789658074549.9,999.7,1789658074550.0,1789658074596.5,46.4,204
4491,4494073,1789658075550.4,1000.6,1789658075550.6,1789658075572.0,21.4,204
4492,4495073,1789658076550.8,1000.3,1789658076550.9,1789658076721.1,170.2,204
4493,4496073,1789658077550.2,999.5,1789658077550.4,1789658077622.9,72.5,204
4494,4497073,1789658078549.9,999.6,1789658078550.0,1789658078580.4,30.4,204
4495,4498073,1789658079550.3,1000.4,1789658079550.4,1789658079591.5,41.1,204
4496,4499073,1789658080550.3,1000.0,1789658080550.4,1789658080608.2,57.8,204
4497,4500073,1789658081549.9,999.6,1789658081550.1,1789658081569.9,19.9,204
4498,4501073,1789658082550.5,1000.6,1789658082550.6,1789658082574.6,24.0,204
