seq,t_esp_ms,t_recv_ms,intervalo_ms,t_before_post_ms,t_after_post_ms,rtt_broker_ms,http_status
4451,4454073,1789658036653.1,,1789658036653.2,1789658036716.9,63.6,204
4452,4455073,1789658036723.5,70.4,1789658036723.7,1789658036742.2,18.5,204
4453,4456073,1789658037549.6,826.1,1789658037549.7,1789658037582.4,32.7,204
4454,4457073,1789658038549.8,1000.2,1789658038549.9,1789658038572.9,23.0,204
4455,4458073,1789658039549.7,1000.0,1789658039549.9,1789658039578.3,28.4,204
4456,4459073,1789658040549.5,999.8,1789658040549.7,1789658040567.7,18.0,204
4457,4460073,1789658041550.0,1000.5,1789658041550.1,1789658041577.0,26.8,204
4458,4461073,1789658042549.6,999.7,1789658042549.8,1789658042579.2,29.4,204
4459,4462073,1789658043549.6,1000.0,1789658043549.8,1789658043576.8,27.1,204
4460,4463073,1789658044549.6,1000.0,1789658044549.7,1789658044573.2,23.4,204
4461,4464073,1789658045549.7,1000.2,1789658045549.9,1789658045575.3,25.4,204
4462,4465073,1789658046549.7,999.9,1789658046549.8,1789658046568.0,18.2,204
4463,4466073,1789658047549.8,1000.1,1789658047550.0,1789658047577.3,27.3,204
4464,4467073,1789658048549.8,1000.0,1789658048550.0,1789658048581.3,31.4,204
4465,4468073,1789658049549.4,999.5,1789658049549.5,1789658049572.0,22.4,204
4466,4469073,1789658050552.3,1002.9,1789658050552.5,1789658050608.4,55.9,204
4467,4470073,1789658051549.5,997.3,1789658051549.7,1789658051577.2,27.5,204
4468,4471073,1789658052549.7,1000.2,1789658052549.9,1789658052718.2,168.3,204
4469,4472073,1789658053549.7,1000.0,1789658053549.9,1789658053572.7,22.8,204
4470,4473073,1789658054549.9,1000.2,1789658054550.1,1789658054577.5,27.4,204
4471,4474073,1789658055550.1,1000.1,1789658055550.3,1789658055573.3,23.0,204
