seq,t_esp_ms,t_recv_ms,intervalo_ms,t_before_post_ms,t_after_post_ms,rtt_broker_ms,http_status
4343,4346073,1789657928730.9,,1789657928731.1,1789657928778.9,47.8,204
4344,4347073,1789657928785.7,54.8,1789657928785.9,1789657928802.7,16.8,204
4345,4348073,1789657929549.1,763.4,1789657929549.3,1789657929571.4,22.1,204
4346,4349073,1789657930548.6,999.5,1789657930548.8,1789657930573.3,24.5,204
4347,4350073,1789657931548.9,1000.3,1789657931549.1,1789657931625.1,76.0,204
4348,4351073,1789657932548.9,1000.0,1789657932549.1,1789657932570.5,21.4,204
4349,4352073,1789657933548.6,999.7,1789657933548.8,1789657933573.5,24.8,204
4350,4353073,1789657934549.2,1000.6,1789657934549.4,1789657934573.1,23.7,204
4351,4354073,1789657935548.7,999.5,1789657935548.8,1789657935569.7,20.8,204
4352,4355073,1789657936549.0,1000.3,1789657936549.2,1789657936580.0,30.8,204
4353,4356073,1789657937549.0,1000.0,1789657937549.1,1789657937607.2,58.0,204
4354,4357073,1789657938548.7,999.7,1789657938548.9,1789657938570.8,21.9,204
4355,4358073,1789657939549.2,1000.5,1789657939549.4,1789657939682.3,133.0,204
4356,4359073,1789657940548.7,999.5,1789657940548.9,1789657940614.7,65.9,204
4357,4360073,1789657941548.9,1000.2,1789657941549.0,1789657941576.0,27.0,204
4358,4361073,1789657942548.9,1000.0,1789657942549.0,1789657942567.4,18.4,204
4359,4362073,1789657943548.6,999.7,1789657943548.7,1789657943582.4,33.6,204
4360,4363073,1789657944549.0,1000.4,1789657944549.2,1789657944571.6,22.5,204
4361,4364073,1789657945550.7,1001.7,1789657945551.0,1789657945579.5,28.5,204
4362,4365073,1789657946548.8,998.1,1789657946549.0,1789657946596.4,47.4,204
4363,4366073,1789657947548.8,1000.0,1789657947549.0,1789657947578.2,29.2,204
