seq,t_esp_ms,t_recv_ms,intervalo_ms,t_before_post_ms,t_after_post_ms,rtt_broker_ms,http_status
4370,4373073,1789657955709.6,,1789657955709.7,1789657955735.2,25.5,204
4371,4374073,1789657955741.1,31.5,1789657955741.3,1789657955764.7,23.4,204
4372,4375073,1789657956549.1,807.9,1789657956549.2,1789657956683.4,134.2,204
4373,4376073,1789657957549.3,1000.2,1789657957549.4,1789657957573.5,24.1,204
4374,4377073,1789657958549.4,1000.1,1789657958549.6,1789657958569.4,19.9,204
4375,4378073,1789657959549.0,999.6,1789657959549.2,1789657959568.1,18.9,204
4376,4379073,1789657960549.2,1000.1,1789657960549.3,1789657960573.7,24.3,204
4377,4380073,1789657961549.2,1000.0,1789657961549.3,1789657961575.3,26.0,204
4378,4381073,1789657962548.8,999.6,1789657962549.0,1789657962568.8,19.8,204
4379,4382073,1789657963549.5,1000.7,1789657963549.7,1789657963569.8,20.1,204
4380,4383073,1789657964549.0,999.5,1789657964549.2,1789657964672.5,123.3,204
4381,4384073,1789657965549.2,1000.2,1789657965549.4,1789657965572.5,23.1,204
4382,4385073,1789657966556.8,1007.5,1789657966556.9,1789657966582.2,25.3,204
4383,4386073,1789657967548.9,992.1,1789657967549.0,1789657967579.8,30.7,204
4384,4387073,1789657968549.0,1000.1,1789657968549.2,1789657968580.3,31.1,204
4385,4388073,1789657969549.0,1000.0,1789657969549.2,1789657969583.9,34.7,204
4386,4389073,1789657970549.3,1000.3,1789657970549.5,1789657970568.8,19.3,204
4387,4390073,1789657971549.2,999.9,1789657971549.4,1789657971571.2,21.8,204
4388,4391073,1789657972549.0,999.8,1789657972549.2,1789657972678.4,129.2,204
4389,4392073,1789657973549.0,1000.0,1789657973549.2,1789657973604.2,55.0,204
4390,4393073,1789657974549.1,1000.1,1789657974549.3,1789657974574.1,24.8,204
