seq,t_esp_ms,t_recv_ms,intervalo_ms,t_before_post_ms,t_after_post_ms,rtt_broker_ms,http_status
4262,4265073,1789657847770.1,,1789657847770.3,1789657847801.2,30.9,204
4263,4266073,1789657847808.1,38.0,1789657847808.3,1789657847840.5,32.2,204
4264,4267073,1789657848548.0,739.9,1789657848548.2,1789657848569.9,21.7,204
4265,4268073,1789657849548.0,999.9,1789657849548.1,1789657849587.7,39.6,204
4266,4269073,1789657850548.2,1000.2,1789657850548.3,1789657850576.4,28.1,204
4267,4270073,1789657851548.1,1000.0,1789657851548.3,1789657851579.2,30.9,204
4268,4271073,1789657852547.7,999.6,1789657852547.8,1789657852706.1,158.3,204
4269,4272073,1789657853548.2,1000.5,1789657853548.4,1789657853578.8,30.4,204
4270,4273073,1789657854548.4,1000.2,1789657854548.6,1789657854585.7,37.1,204
4271,4274073,1789657855548.3,999.8,1789657855548.4,1789657855577.4,28.9,204
4272,4275073,1789657856548.2,999.9,1789657856548.4,1789657856611.8,63.4,204
4273,4276073,1789657857548.1,999.9,1789657857548.3,1789657857567.9,19.6,204
4274,4277073,1789657858548.4,1000.3,1789657858548.6,1789657858581.9,33.3,204
4275,4278073,1789657859548.5,1000.1,1789657859548.7,1789657859595.2,46.5,204
4276,4279073,1789657860548.3,999.7,1789657860548.4,1789657860579.9,31.5,204
4277,4280073,1789657861548.6,1000.4,1789657861548.8,1789657861576.0,27.2,204
4278,4281073,1789657862548.6,999.9,1789657862548.7,1789657862581.5,32.7,204
4279,4282073,1789657863548.3,999.7,1789657863548.4,1789657863577.5,29.0,204
4280,4283073,1789657864548.3,1000.0,1789657864548.5,1789657864568.6,20.1,204
4281,4284073,1789657865548.2,999.9,1789657865548.4,1789657865571.5,23.1,204
4282,4285073,1789657866548.0,999.8,1789657866548.2,1789657866582.6,34.4,204
4283,4286073,1789657867548.6,1000.6,1789657867548.8,1789657867596.7,47.9,204
