seq,t_esp_ms,t_recv_ms,intervalo_ms,t_before_post_ms,t_after_post_ms,rtt_broker_ms,http_status
4397,4400073,1789657982629.4,,1789657982629.6,1789657982657.3,27.7,204
4398,4401073,1789657982664.5,35.1,1789657982664.7,1789657982695.3,30.5,204
4399,4402073,1789657983549.1,884.5,1789657983549.2,1789657983568.7,19.5,204
4400,4403073,1789657984549.6,1000.5,1789657984549.7,1789657984582.0,32.3,204
4401,4404073,1789657985549.1,999.5,1789657985549.3,1789657985579.4,30.1,204
4402,4405073,1789657986549.3,1000.2,1789657986549.5,1789657986577.0,27.5,204
4403,4406073,1789657987550.5,1001.2,1789657987550.7,1789657987582.7,32.0,204
4404,4407073,1789657988549.2,998.7,1789657988549.3,1789657988678.8,129.5,204
4405,4408073,1789657989549.6,1000.4,1789657989549.7,1789657989570.8,21.1,204
4406,4409073,1789657990549.1,999.6,1789657990549.3,1789657990653.3,104.0,204
4407,4410073,1789657991549.3,1000.2,1789657991549.5,1789657991601.6,52.1,204
4408,4411073,1789657992549.2,999.9,1789657992549.4,1789657992576.3,27.0,204
4409,4412073,1789657993549.1,999.8,1789657993549.2,1789657993568.4,19.2,204
4410,4413073,1789657994549.7,1000.7,1789657994549.9,1789657994573.0,23.2,204
4411,4414073,1789657995549.2,999.5,1789657995549.4,1789657995570.6,21.2,204
4412,4415073,1789657996549.4,1000.2,1789657996549.5,1789657996667.9,118.3,204
4413,4416073,1789657997549.3,999.9,1789657997549.5,1789657997571.3,21.8,204
4414,4417073,1789657998549.5,1000.2,1789657998549.6,1789657998576.3,26.7,204
4415,4418073,1789657999549.4,1000.0,1789657999549.6,1789657999569.6,20.0,204
4416,4419073,1789658000549.5,1000.0,1789658000549.6,1789658000587.4,37.8,204
4417,4420073,1789658001549.7,1000.2,1789658001549.9,1789658001570.7,20.9,204
