seq,t_esp_ms,t_recv_ms,intervalo_ms,t_before_post_ms,t_after_post_ms,rtt_broker_ms,http_status
4505,4508073,1789658090731.5,,1789658090731.7,1789658090796.6,64.9,204
4506,4509073,1789658090803.4,71.9,1789658090803.7,1789658090937.6,134.0,204
4507,4510073,1789658091549.9,746.5,1789658091550.1,1789658091575.9,25.8,204
4508,4511073,1789658092550.7,1000.7,1789658092550.9,1789658092635.5,84.6,204
4509,4512073,1789658093550.1,999.4,1789658093550.3,1789658093594.1,43.9,204
4510,4513073,1789658094550.3,1000.2,1789658094550.5,1789658094577.1,26.7,204
4511,4514073,1789658095550.3,1000.0,1789658095550.5,1789658095577.2,26.7,204
4512,4515073,1789658096549.9,999.7,1789658096550.1,1789658096570.1,20.0,204
4513,4516073,1789658097550.6,1000.6,1789658097550.7,1789658097572.1,21.4,204
4514,4517073,1789658098550.1,999.5,1789658098550.2,1789658098578.4,28.2,204
4515,4518073,1789658099550.2,1000.2,1789658099550.4,1789658099595.7,45.3,204
4516,4519073,1789658100550.3,1000.1,1789658100550.5,1789658100571.3,20.9,204
4517,4520073,1789658101550.3,1000.0,1789658101550.5,1789658101589.2,38.7,204
4518,4521073,1789658102550.6,1000.3,1789658102550.8,1789658102574.2,23.4,204
4519,4522073,1789658103550.7,1000.1,1789658103550.9,1789658103570.1,19.2,204
4520,4523073,1789658104550.3,999.6,1789658104550.5,1789658104565.3,14.8,204
4521,4524073,1789658105550.4,1000.1,1789658105550.5,1789658105592.5,42.0,204
4522,4525073,1789658106550.4,1000.0,1789658106550.5,1789658106572.0,21.5,204
4523,4526073,1789658107550.0,999.7,1789658107550.2,1789658107740.9,190.7,204
4524,4527073,1789658108550.8,1000.7,1789658108550.9,1789658108570.7,19.8,204
4525,4528073,1789658109550.3,999.5,1789658109550.4,1789658109572.0,21.6,204
