seq,t_esp_ms,t_recv_ms,intervalo_ms,t_before_post_ms,t_after_post_ms,rtt_broker_ms,http_status
4316,4319073,1789657901735.6,,1789657901735.8,1789657901759.6,23.8,204
4317,4320073,1789657901766.6,31.0,1789657901766.8,1789657901909.1,142.3,204
4318,4321073,1789657902548.7,782.1,1789657902548.8,1789657902596.8,47.9,204
4319,4322073,1789657903549.9,1001.2,1789657903550.1,1789657903582.9,32.8,204
4320,4323073,1789657904548.5,998.6,1789657904548.7,1789657904569.4,20.7,204
4321,4324073,1789657905548.4,999.9,1789657905548.6,1789657905581.7,33.1,204
4322,4325073,1789657906548.5,1000.1,1789657906548.7,1789657906567.6,18.9,204
4323,4326073,1789657907548.5,1000.0,1789657907548.7,1789657907633.4,84.7,204
4324,4327073,1789657908548.8,1000.3,1789657908549.0,1789657908567.6,18.6,204
4325,4328073,1789657909548.9,1000.1,1789657909549.1,1789657909581.2,32.2,204
4326,4329073,1789657910548.6,999.7,1789657910548.7,1789657910567.5,18.8,204
4327,4330073,1789657911548.7,1000.1,1789657911548.8,1789657911570.8,21.9,204
4328,4331073,1789657912548.7,1000.0,1789657912548.8,1789657912570.4,21.5,204
4329,4332073,1789657913548.4,999.7,1789657913548.5,1789657913579.3,30.8,204
4330,4333073,1789657914549.1,1000.7,1789657914549.3,1789657914594.3,45.1,204
4331,4334073,1789657915548.6,999.5,1789657915548.8,1789657915621.2,72.5,204
4332,4335073,1789657916548.9,1000.3,1789657916549.1,1789657916575.6,26.6,204
4333,4336073,1789657917548.9,999.9,1789657917549.0,1789657917568.2,19.2,204
4334,4337073,1789657918548.6,999.7,1789657918548.7,1789657918566.5,17.8,204
4335,4338073,1789657919548.6,1000.1,1789657919548.8,1789657919588.5,39.7,204
4336,4339073,1789657920548.7,1000.0,1789657920548.8,1789657920580.8,31.9,204
