seq,t_esp_ms,t_recv_ms,intervalo_ms,t_before_post_ms,t_after_post_ms,rtt_broker_ms,http_status
4208,4211073,1789657794127.1,,1789657794127.3,1789657794165.3,38.0,204
4209,4212073,1789657794172.6,45.5,1789657794172.8,1789657794237.0,64.2,204
4210,4213073,1789657794547.5,374.9,1789657794547.7,1789657794578.8,31.1,204
4211,4214073,1789657795547.5,1000.0,1789657795547.6,1789657795646.5,98.9,204
4212,4215073,1789657796547.7,1000.2,1789657796547.9,1789657796581.0,33.1,204
4213,4216073,1789657797547.7,1000.0,1789657797547.8,1789657797571.9,24.1,204
4214,4217073,1789657798549.5,1001.8,1789657798549.7,1789657798573.0,23.4,204
4215,4218073,1789657799547.8,998.3,1789657799547.9,1789657799573.5,25.5,204
4216,4219073,1789657800548.1,1000.4,1789657800548.3,1789657800706.3,158.0,204
4217,4220073,1789657801548.0,999.9,1789657801548.2,1789657801580.0,31.8,204
4218,4221073,1789657802547.6,999.5,1789657802547.7,1789657802650.7,103.0,204
4219,4222073,1789657803547.7,1000.1,1789657803547.8,1789657803609.1,61.3,204
4220,4223073,1789657804547.7,1000.1,1789657804547.9,1789657804633.8,86.0,204
4221,4224073,1789657805547.2,999.5,1789657805547.4,1789657805572.2,24.8,204
4222,4225073,1789657806547.9,1000.6,1789657806548.0,1789657806583.4,35.4,204
4223,4226073,1789657807546.9,999.0,1789657807547.0,1789657807593.1,46.1,204
4224,4227073,1789657808547.5,1000.7,1789657808547.7,1789657808574.9,27.1,204
4225,4228073,1789657809548.1,1000.5,1789657809548.2,1789657809657.2,108.9,204
4226,4229073,1789657810547.9,999.8,1789657810548.1,1789657810566.8,18.7,204
4227,4230073,1789657811547.9,1000.0,1789657811548.0,1789657811593.2,45.2,204
4228,4231073,1789657812547.8,999.9,1789657812547.9,1789657812572.1,24.1,204
4229,4232073,1789657813547.7,999.9,1789657813547.8,1789657813573.7,25.9,204
