seq,t_esp_ms,t_recv_ms,intervalo_ms,t_before_post_ms,t_after_post_ms,rtt_broker_ms,http_status
4424,4427073,1789658009629.9,,1789658009630.1,1789658009656.1,26.1,204
4425,4428073,1789658009663.0,33.0,1789658009663.2,1789658009681.8,18.5,204
4426,4429073,1789658010549.9,886.9,1789658010550.1,1789658010576.2,26.1,204
4427,4430073,1789658011549.4,999.5,1789658011549.6,1789658011573.8,24.2,204
4428,4431073,1789658012549.7,1000.3,1789658012549.9,1789658012699.2,149.4,204
4429,4432073,1789658013549.7,1000.0,1789658013549.9,1789658013571.7,21.8,204
4430,4433073,1789658014549.4,999.7,1789658014549.6,1789658014585.0,35.4,204
4431,4434073,1789658015549.5,1000.1,1789658015549.7,1789658015572.6,22.9,204
4432,4435073,1789658016549.5,1000.0,1789658016549.7,1789658016592.0,42.3,204
4433,4436073,1789658017549.8,1000.3,1789658017549.9,1789658017573.7,23.8,204
4434,4437073,1789658018549.8,1000.0,1789658018550.0,1789658018573.4,23.4,204
4435,4438073,1789658019549.6,999.8,1789658019549.7,1789658019570.6,20.9,204
4436,4439073,1789658020549.6,1000.0,1789658020549.8,1789658020686.5,136.7,204
4437,4440073,1789658021549.5,1000.0,1789658021549.7,1789658021576.3,26.6,204
4438,4441073,1789658022549.8,1000.3,1789658022550.0,1789658022570.0,20.0,204
4439,4442073,1789658023549.8,1000.0,1789658023550.0,1789658023569.2,19.2,204
4440,4443073,1789658024549.5,999.7,1789658024549.7,1789658024574.6,24.9,204
4441,4444073,1789658025550.0,1000.5,1789658025550.2,1789658025574.1,23.9,204
4442,4445073,1789658026549.4,999.4,1789658026549.6,1789658026570.1,20.4,204
4443,4446073,1789658027549.7,1000.3,1789658027549.9,1789658027568.6,18.7,204
4444,4447073,1789658028549.7,1000.0,1789658028549.9,1789658028612.8,62.9,204
