seq,t_esp_ms,t_recv_ms,intervalo_ms,t_before_post_ms,t_after_post_ms,rtt_broker_ms,http_status
4181,4184073,1789657767128.1,,1789657767128.3,1789657767179.7,51.4,204
4182,4185073,1789657767186.4,58.3,1789657767186.6,1789657767208.1,21.5,204
4183,4186073,1789657767547.6,361.2,1789657767547.8,1789657767577.8,30.0,204
4184,4187073,1789657768547.6,1000.0,1789657768547.7,1789657768609.6,61.9,204
4185,4188073,1789657769547.3,999.7,1789657769547.4,1789657769568.3,20.9,204
4186,4189073,1789657770547.4,1000.1,1789657770547.5,1789657770594.2,46.7,204
4187,4190073,1789657771547.3,999.9,1789657771547.4,1789657771758.4,210.9,204
4188,4191073,1789657772547.6,1000.3,1789657772547.8,1789657772788.8,241.0,204
4189,4192073,1789657773547.6,1000.0,1789657773547.7,1789657773566.4,18.7,204
4190,4193073,1789657774547.3,999.8,1789657774547.5,1789657774577.0,29.5,204
4191,4194073,1789657775547.4,1000.1,1789657775547.6,1789657775611.8,64.2,204
4192,4195073,1789657776547.4,1000.0,1789657776547.6,1789657776624.3,76.7,204
4193,4196073,1789657777552.4,1004.9,1789657777552.6,1789657777582.1,29.5,204
4194,4197073,1789657778547.6,995.3,1789657778547.8,1789657778688.1,140.3,204
4195,4198073,1789657779547.3,999.7,1789657779547.5,1789657779666.6,119.1,204
4196,4199073,1789657780547.9,1000.6,1789657780548.1,1789657780618.5,70.3,204
4197,4200073,1789657781547.5,999.5,1789657781547.6,1789657781584.2,36.6,204
4198,4201073,1789657782547.7,1000.2,1789657782547.8,1789657782573.4,25.5,204
4199,4202073,1789657783547.7,1000.0,1789657783547.8,1789657783568.7,20.9,204
4200,4203073,1789657784547.4,999.8,1789657784547.6,1789657784566.3,18.7,204
4201,4204073,1789657785547.9,1000.5,1789657785548.1,1789657785578.5,30.5,204
4202,4205073,1789657786547.4,999.5,1789657786547.6,1789657786569.9,22.3,204
