seq,t_esp_ms,t_recv_ms,intervalo_ms,t_before_post_ms,t_after_post_ms,rtt_broker_ms,http_status
4532,4535073,1789658117741.7,,1789658117741.9,1789658117878.4,136.5,204
4533,4536073,1789658117885.8,144.1,1789658117886.0,1789658117905.0,18.9,204
4534,4537073,1789658118550.6,664.8,1789658118550.8,1789658118581.6,30.8,204
4535,4538073,1789658119550.6,1000.0,1789658119550.8,1789658119580.1,29.4,204
4536,4539073,1789658120550.3,999.7,1789658120550.5,1789658120569.5,19.0,204
4537,4540073,1789658121550.4,1000.0,1789658121550.6,1789658121568.8,18.2,204
4538,4541073,1789658122550.4,1000.0,1789658122550.6,1789658122572.8,22.3,204
4539,4542073,1789658123550.7,1000.3,1789658123550.9,1789658123608.3,57.4,204
4540,4543073,1789658124550.6,999.9,1789658124550.8,1789658124571.3,20.5,204
4541,4544073,1789658125550.3,999.7,1789658125550.4,1789658125573.0,22.6,204
4542,4545073,1789658126552.2,1001.9,1789658126552.3,1789658126580.9,28.6,204
4543,4546073,1789658127550.3,998.2,1789658127550.5,1789658127570.6,20.1,204
4544,4547073,1789658128550.6,1000.3,1789658128550.8,1789658128585.6,34.8,204
4545,4548073,1789658129550.6,1000.0,1789658129550.8,1789658129576.6,25.8,204
4546,4549073,1789658130550.3,999.7,1789658130550.5,1789658130570.3,19.9,204
4547,4550073,1789658131550.9,1000.6,1789658131551.1,1789658131621.1,70.0,204
4548,4551073,1789658132550.4,999.6,1789658132550.6,1789658132574.0,23.4,204
4549,4552073,1789658133550.7,1000.2,1789658133550.8,1789658133572.0,21.2,204
4550,4553073,1789658134553.2,1002.6,1789658134553.4,1789658134578.7,25.3,204
4551,4554073,1789658135550.4,997.2,1789658135550.5,1789658135577.8,27.3,204
4552,4555073,1789658136550.9,1000.5,1789658136551.1,1789658136576.8,25.6,204
