seq,t_esp_ms,t_recv_ms,intervalo_ms,t_before_post_ms,t_after_post_ms,rtt_broker_ms,http_status
4289,4292073,1789657874810.5,,1789657874810.6,1789657874833.6,23.0,204
4290,4293073,1789657874837.3,26.8,1789657874837.5,1789657874869.7,32.3,204
4291,4294073,1789657875548.2,710.9,1789657875548.4,1789657875594.9,46.5,204
4292,4295073,1789657876548.5,1000.2,1789657876548.7,1789657876585.8,37.1,204
4293,4296073,1789657877548.5,1000.0,1789657877548.6,1789657877575.7,27.1,204
4294,4297073,1789657878548.2,999.7,1789657878548.3,1789657878573.9,25.6,204
4295,4298073,1789657879548.8,1000.6,1789657879548.9,1789657879581.0,32.1,204
4296,4299073,1789657880548.3,999.5,1789657880548.4,1789657880571.3,22.8,204
4297,4300073,1789657881548.6,1000.3,1789657881548.7,1789657881575.2,26.4,204
4298,4301073,1789657882548.7,1000.2,1789657882548.9,1789657882586.9,38.0,204
4299,4302073,1789657883548.4,999.7,1789657883548.6,1789657883609.5,60.9,204
4300,4303073,1789657884548.2,999.8,1789657884548.4,1789657884747.5,199.1,204
4301,4304073,1789657885548.2,1000.0,1789657885548.4,1789657885568.3,19.9,204
4302,4305073,1789657886548.5,1000.3,1789657886548.7,1789657886576.2,27.5,204
4303,4306073,1789657887548.4,999.9,1789657887548.6,1789657887567.2,18.6,204
4304,4307073,1789657888548.3,999.9,1789657888548.5,1789657888592.4,43.9,204
4305,4308073,1789657889548.7,1000.4,1789657889548.9,1789657889569.5,20.6,204
4306,4309073,1789657890548.2,999.5,1789657890548.4,1789657890584.7,36.3,204
4307,4310073,1789657891548.4,1000.2,1789657891548.6,1789657891617.5,68.9,204
4308,4311073,1789657892548.4,999.9,1789657892548.5,1789657892579.5,31.0,204
4309,4312073,1789657893548.1,999.7,1789657893548.2,1789657893570.4,22.2,204
4310,4313073,1789657894548.7,1000.6,1789657894548.8,1789657894578.8,30.0,204
