iso_time,t_rel_s,presence,distance,http_status
2026-09-17T19:36:24,0.0,True,302,200
2026-09-17T19:36:26,1.5,True,359,200
2026-09-17T19:36:28,3.1,True,455,200
2026-09-17T19:36:29,4.7,True,571,200
2026-09-17T19:36:31,6.2,True,553,200
2026-09-17T19:36:32,7.7,True,576,200
2026-09-17T19:36:34,9.2,True,514,200
2026-09-17T19:36:35,10.8,True,436,200
2026-09-17T19:36:37,12.3,True,380,200
2026-09-17T19:36:38,13.8,True,289,200
2026-09-17T19:36:40,15.3,True,228,200
2026-09-17T19:36:41,16.9,True,141,200
2026-09-17T19:36:43,18.4,True,89,200
2026-09-17T19:36:44,19.9,True,53,200
2026-09-17T19:36:46,21.4,True,14,200
2026-09-17T19:36:47,23.0,True,9,200
2026-09-17T19:36:49,24.5,True,9,200
2026-09-17T19:36:50,26.0,True,9,200
2026-09-17T19:36:52,27.5,True,9,200
2026-09-17T19:36:53,29.1,True,38,200
2026-09-17T19:36:55,30.6,True,89,200
2026-09-17T19:36:56,32.1,True,146,200
2026-09-17T19:36:58,33.6,True,216,200
2026-09-17T19:37:00,35.2,True,224,200
2026-09-17T19:37:01,36.7,True,276,200
2026-09-17T19:37:03,38.2,True,315,200
2026-09-17T19:37:04,39.7,True,338,200
2026-09-17T19:37:06,41.2,True,374,200
2026-09-17T19:37:07,42.8,True,385,200
2026-09-17T19:37:09,44.3,True,405,200
2026-09-17T19:37:10,45.8,True,434,200
2026-09-17T19:37:12,47.4,True,497,200
2026-09-17T19:37:13,48.9,True,519,200
2026-09-17T19:37:15,50.4,True,559,200
2026-09-17T19:37:16,51.9,True,600,200
2026-09-17T19:37:18,53.4,True,518,200
2026-09-17T19:37:19,55.0,True,517,200
2026-09-17T19:37:21,56.5,True,443,200
2026-09-17T19:37:22,58.0,True,405,200
2026-09-17T19:37:24,59.5,True,377,200
2026-09-17T19:37:25,61.1,True,343,200
2026-09-17T19:37:27,62.6,True,286,200
2026-09-17T19:37:29,64.1,True,267,200
2026-09-17T19:37:30,65.6,True,205,200
2026-09-17T19:37:32,67.2,True,174,200
2026-09-17T19:37:33,68.7,True,154,200
2026-09-17T19:37:35,70.2,True,166,200
2026-09-17T19:37:36,71.8,True,137,200
2026-09-17T19:37:38,73.3,True,94,200
2026-09-17T19:37:39,74.8,True,74,200
2026-09-17T19:37:41,76.3,True,63,200
2026-09-17T19:37:42,77.9,True,51,200
2026-09-17T19:37:44,79.4,True,32,200
2026-09-17T19:37:45,80.9,True,12,200
2026-09-17T19:37:47,82.4,True,13,200
2026-09-17T19:37:48,84.0,True,58,200
2026-09-17T19:37:50,85.5,True,71,200
2026-09-17T19:37:51,87.0,True,123,200
2026-09-17T19:37:53,88.5,True,143,200
2026-09-17T19:37:54,90.1,True,206,200
2026-09-17T19:37:56,91.6,True,243,200
2026-09-17T19:37:58,93.1,True,296,200
2026-09-17T19:37:59,94.6,True,319,200
2026-09-17T19:38:01,96.2,True,348,200
